Nom_compteur;Arrondissement
97 avenue Denfert Rochereau SO-NE;75014
105 rue La Fayette E-O;75009
106 avenue Denfert Rochereau NE-SO;75014
100 rue La Fayette O-E;75009
135 avenue Daumesnil SE-NO;75012
28 boulevard Diderot E-O;75012
28 boulevard Diderot O-E;75012
39 quai François Mauriac NO-SE;75013
39 quai François Mauriac SE-NO;75013
18 quai de l'Hôtel de Ville NO-SE;75004
18 quai de l'Hôtel de Ville SE-NO;75004
27 boulevard Diderot E-O;75012
Voie Georges Pompidou NE-SO;75004
Voie Georges Pompidou SO-NE;75004
67 boulevard Voltaire SE-NO;75011
10 avenue de la Grande Armée SE-NO;75017
7 avenue de la Grande Armée NO-SE;75017
72 boulevard Voltaire NO-SE;75011
89 boulevard de Magenta NO-SE;75010
16 avenue de la Porte des Ternes E-O;75017
Pont du Garigliano NO-SE;75015
102 boulevard de Magenta SE-NO;75010
26 boulevard de Ménilmontant SE-NO;75020
Face au 16 avenue de la  Porte des Ternes O-E;75017
21 boulevard Auguste Blanqui SO-NE;75013
72 boulevard Richard Lenoir  S-N;75011
Pont National SO-NE;75013
Face au 48 quai de la marne NE-SO;75019
Face au 48 quai de la marne SO-NE;75019
77 boulevard Richard Lenoir N-S;75011
Face 104 rue d'Aubervilliers N-S;75019
Face 104 rue d'Aubervilliers S-N;75019
Face au 70 quai de Bercy N-S;75012
Face au 70 quai de Bercy S-N;75012
6 rue Julia Bartet NE-SO;75014
6 rue Julia Bartet SO-NE;75014
Face au 25 quai de l'Oise NE-SO;75019
Face au 25 quai de l'Oise SO-NE;75019
Pont National  NE-SO;75013
35 boulevard de Ménilmontant NO-SE;75020
Pont du Garigliano SE-NO;75015
152 boulevard du Montparnasse E-O;75014
152 boulevard du Montparnasse O-E;75014
10 boulevard Auguste Blanqui NE-SO;75013
243 boulevard Saint Germain NO-SE;75007
Totem 64 Rue de Rivoli E-O;75004
Totem 64 Rue de Rivoli O-E;75004
87 avenue de Flandre NE-SO;75019
72 avenue de Flandre SO-NE;75019
2 avenue de la Porte de Bagnolet O-E;75020
44 avenue des Champs Elysées SE-NO;75008
180 avenue d'Italie N-S;75013
129 rue Lecourbe SO-NE;75015
147 avenue d'Italie S-N;75013
33 avenue des Champs Elysées NO-SE;75008
132 rue Lecourbe NE-SO;75015
Pont de la Concorde N-S;75007
Pont des Invalides S-N;75008
Pont de la Concorde S-N;75007
Pont des Invalides N-S;75008
3 avenue de la Porte D'Orléans S-N;75014
Face au 8 avenue de la porte de Charenton NO-SE;75012
Face au 8 avenue de la porte de Charenton SE-NO;75012
Face au 4 avenue de la porte de Bagnolet E-O;75020
Face au 4 avenue de la porte de Bagnolet O-E;75020
Pont Charles De Gaulle NE-SO;75013
Pont Charles De Gaulle SO-NE;75013
36 quai de Grenelle NE-SO;75015
36 quai de Grenelle SO-NE;75015
Face au 40 quai D'Issy NE-SO;75015
Face au 40 quai D'Issy SO-NE;75015
Pont de Bercy NE-SO;75012
Pont de Bercy SO-NE;75012
38 rue Turbigo NE-SO;75003
38 rue Turbigo SO-NE;75003
Quai d'Orsay E-O;75007
Quai d'Orsay O-E;75007
27 quai de la Tournelle NO-SE;75005
27 quai de la Tournelle SE-NO;75005
Totem 85 quai d'Austerlitz NO-SE;75013
Totem 85 quai d'Austerlitz SE-NO;75013
Totem Cours la Reine E-O;75008
Totem Cours la Reine O-E;75008
Totem 73 boulevard de Sébastopol N-S;75002
Totem 73 boulevard de Sébastopol S-N;75002
21 boulevard Saint Michel S-N;75005
30 rue Saint Jacques N-S;75005
90 Rue De Sèvres NE-SO;75015
90 Rue De Sèvres SO-NE;75015
20 Avenue de Clichy NO-SE;75018
20 Avenue de Clichy SE-NO;75018
69 Boulevard Ornano N-S;75018
74 Boulevard Ornano S-N;75018
254 rue de Vaugirard NE-SO;75015
254 rue de Vaugirard SO-NE;75015
Quai des Tuileries NO-SE;75001
Quai des Tuileries SE-NO;75001
