Date;Pluie_en_mm;Temperature_mini;Temperature_maxi;Temperature_moy
2020-09-01;0;15;21;18
2020-09-02;0;15;25;20
2020-09-03;0;18;26;22
2020-09-04;0;20;29;24.5
2020-09-05;0.2;17;21;19
2020-09-06;0.1;14;20;17
2020-09-07;0;15;25;20
2020-09-08;0;17;23;20
2020-09-09;0;18;27;22.5
2020-09-10;0.2;18;27;22.5
2020-09-11;0;19;27;23
2020-09-12;0;16;28;22
2020-09-13;0;20;32;26
2020-09-14;0;21;36;28.5
2020-09-15;0;23;34;28.5
2020-09-16;0.3;22;32;27
2020-09-17;0.2;18;27;22.5
2020-09-18;0;17;28;22.5
2020-09-19;4.7;21;28;24.5
2020-09-20;2.7;19;28;23.5
2020-09-21;3.6;18;29;23.5
2020-09-22;0.1;17;26;21.5
2020-09-23;2.2;17;23;20
2020-09-24;6.2;14;18;16
2020-09-25;2;11;13;12
2020-09-26;0.3;10;14;12
2020-09-27;25.1;11;16;13.5
2020-09-28;4;14;15;14.5
2020-09-29;1.7;14;17;15.5
2020-09-30;0.7;15;19;17
2020-10-01;28.1;14;17;15.5
2020-10-02;30.1;12;15;13.5
2020-10-03;3.5;11;15;13
2020-10-04;3;10;15;12.5
2020-10-05;18.6;11;14;12.5
2020-10-06;6.1;14;15;14.5
2020-10-07;3.5;13;16;14.5
2020-10-08;0.1;15;19;17
2020-10-09;3.9;15;16;15.5
2020-10-10;0;12;15;13.5
2020-10-11;0.2;10;15;12.5
2020-10-12;0.3;9;15;12
2020-10-13;1.9;10;14;12
2020-10-14;1.2;9;13;11
2020-10-15;0;8;12;10
2020-10-16;0;7;14;10.5
2020-10-17;0;8;13;10.5
2020-10-18;0;9;13;11
2020-10-19;0;9;14;11.5
2020-10-20;4.7;13;15;14
2020-10-21;5.6;16;20;18
2020-10-22;2.8;15;20;17.5
2020-10-23;1.9;14;20;17
2020-10-24;0.5;13;16;14.5
2020-10-25;10.4;14;16;15
2020-10-26;0.1;10;14;12
2020-10-27;4.5;8;11;9.5
2020-10-28;4.5;12;14;13
2020-10-29;0.3;12;15;13.5
2020-10-30;0;13;16;14.5
2020-10-31;0.1;12;17;14.5
2020-11-01;1.7;15;17;16
2020-11-02;1.8;12;18;15
2020-11-03;0;10;12;11
2020-11-04;0;9;12;10.5
2020-11-05;0;8;12;10
2020-11-06;0;7;12;9.5
2020-11-07;0;10;17;13.5
2020-11-08;0;13;17;15
2020-11-09;0.1;12;17;14.5
2020-11-10;0.1;12;16;14
2020-11-11;0;11;15;13
2020-11-12;0.4;12;15;13.5
2020-11-13;0.1;12;15;13.5
2020-11-14;0;12;16;14
2020-11-15;7.1;14;15;14.5
2020-11-16;0.8;12;13;12.5
2020-11-17;0;11;14;12.5
2020-11-18;0;11;16;13.5
2020-11-19;0.3;10;12;11
2020-11-20;0;7;10;8.5
2020-11-21;0;6;10;8
2020-11-22;0;7;11;9
2020-11-23;0;8;11;9.5
2020-11-24;0;7;10;8.5
2020-11-25;0;7;11;9
2020-11-26;0;8;12;10
2020-11-27;0;8;11;9.5
2020-11-28;0;7;12;9.5
2020-11-29;0;6;10;8
2020-11-30;0.1;3;8;5.5
2020-12-01;3.2;8;9;8.5
2020-12-02;0.3;7;8;7.5
2020-12-03;2.9;6;7;6.5
2020-12-04;12.3;6;7;6.5
2020-12-05;1;3;6;4.5
2020-12-06;3.5;4;6;5
2020-12-07;0.9;4;6;5
2020-12-08;0;2;4;3
2020-12-09;0.1;3;6;4.5
2020-12-10;0.1;4;6;5
2020-12-11;11.5;7;10;8.5
2020-12-12;3.7;7;9;8
2020-12-13;0.2;5;7;6
2020-12-14;2.9;9;10;9.5
2020-12-15;18.2;10;11;10.5
2020-12-16;0;7;10;8.5
2020-12-17;0.5;9;11;10
2020-12-18;0;7;11;9
2020-12-19;1.1;10;11;10.5
2020-12-20;0;8;10;9
2020-12-21;11.9;8;10;9
2020-12-22;2.9;13;14;13.5
2020-12-23;17.3;12;13;12.5
2020-12-24;4.7;7;9;8
2020-12-25;1.3;5;6;5.5
2020-12-26;0;3;5;4
2020-12-27;27.6;7;8;7.5
2020-12-28;6.4;4;5;4.5
2020-12-29;10.4;3;5;4
2020-12-30;1.4;2;6;4
2020-12-31;5.8;5;6;5.5
2021-01-01;0.5;2;3;2.5
2021-01-02;0.1;2;5;3.5
2021-01-03;0.3;2;4;3
2021-01-04;1;2;3;2.5
2021-01-05;0.4;2;3;2.5
2021-01-06;0.5;1;3;2
2021-01-07;1;1;3;2
2021-01-08;0;1;3;2
2021-01-09;0;1;3;2
2021-01-10;0;0;4;2
2021-01-11;0;1;4;2.5
2021-01-12;17.3;6;9;7.5
2021-01-13;7.2;5;9;7
2021-01-14;4.4;8;9;8.5
2021-01-15;0.4;2;5;3.5
2021-01-16;10.1;0;1;0.5
2021-01-17;0;4;7;5.5
2021-01-18;0;3;6;4.5
2021-01-19;2.2;4;8;6
2021-01-20;0.2;6;10;8
2021-01-21;13.6;7;10;8.5
2021-01-22;11.1;5;7;6
2021-01-23;2.6;3;5;4
2021-01-24;3.6;3;5;4
2021-01-25;1.6;2;6;4
2021-01-26;0.1;1;5;3
2021-01-27;0.6;3;7;5
2021-01-28;11.8;10;13;11.5
2021-01-29;11.2;10;11;10.5
2021-01-30;17.5;9;12;10.5
